penalty,.iter,.metric,.estimator,mean,n,std_err,.config,model
2.0163331153732705e-6,0,ppv,binary,0.3847521233943738,15,0.012742691844674902,Model11,lasso-glove
2.0163331153732705e-6,0,precision,binary,0.3847521233943738,15,0.012742691844674905,Model11,lasso-glove
2.0163331153732705e-6,0,recall,binary,0.7879786851531605,15,0.015279365697906205,Model11,lasso-glove
2.0163331153732705e-6,0,roc_auc,binary,0.9328825884721816,15,0.0033818429638531613,Model11,lasso-glove
6.0334811619344456e-6,0,bal_accuracy,binary,0.8441123256863509,15,0.0076614586708041235,Model12,lasso-glove
6.0334811619344456e-6,0,f_meas,binary,0.5152588180965318,15,0.013206371408669731,Model12,lasso-glove
6.0334811619344456e-6,0,kap,binary,0.46282421331226387,15,0.013811207890606482,Model12,lasso-glove
6.0334811619344456e-6,0,npv,binary,0.9817492527861901,15,0.001462468678628198,Model12,lasso-glove
6.0334811619344456e-6,0,ppv,binary,0.3847521233943738,15,0.012742691844674902,Model12,lasso-glove
6.0334811619344456e-6,0,precision,binary,0.3847521233943738,15,0.012742691844674905,Model12,lasso-glove
6.0334811619344456e-6,0,recall,binary,0.7879786851531605,15,0.015279365697906205,Model12,lasso-glove
6.0334811619344456e-6,0,roc_auc,binary,0.9328825884721816,15,0.0033818429638531613,Model12,lasso-glove
1.082963892068829e-5,0,bal_accuracy,binary,0.8441123256863509,15,0.0076614586708041235,Model13,lasso-glove
1.082963892068829e-5,0,f_meas,binary,0.5152588180965318,15,0.013206371408669731,Model13,lasso-glove
1.082963892068829e-5,0,kap,binary,0.46282421331226387,15,0.013811207890606482,Model13,lasso-glove
1.082963892068829e-5,0,npv,binary,0.9817492527861901,15,0.001462468678628198,Model13,lasso-glove
1.082963892068829e-5,0,ppv,binary,0.3847521233943738,15,0.012742691844674902,Model13,lasso-glove
1.082963892068829e-5,0,precision,binary,0.3847521233943738,15,0.012742691844674905,Model13,lasso-glove
1.082963892068829e-5,0,recall,binary,0.7879786851531605,15,0.015279365697906205,Model13,lasso-glove
1.082963892068829e-5,0,roc_auc,binary,0.9328825884721816,15,0.0033818429638531613,Model13,lasso-glove
1.7641843419092175e-5,0,bal_accuracy,binary,0.8441123256863509,15,0.0076614586708041235,Model14,lasso-glove
1.7641843419092175e-5,0,f_meas,binary,0.5152588180965318,15,0.013206371408669731,Model14,lasso-glove
1.7641843419092175e-5,0,kap,binary,0.46282421331226387,15,0.013811207890606482,Model14,lasso-glove
1.7641843419092175e-5,0,npv,binary,0.9817492527861901,15,0.001462468678628198,Model14,lasso-glove
1.7641843419092175e-5,0,ppv,binary,0.3847521233943738,15,0.012742691844674902,Model14,lasso-glove
1.7641843419092175e-5,0,precision,binary,0.3847521233943738,15,0.012742691844674905,Model14,lasso-glove
1.7641843419092175e-5,0,recall,binary,0.7879786851531605,15,0.015279365697906205,Model14,lasso-glove
1.7641843419092175e-5,0,roc_auc,binary,0.9328825884721816,15,0.0033818429638531613,Model14,lasso-glove
4.266807906231856e-5,0,bal_accuracy,binary,0.8446473551757597,15,0.00747363197060666,Model15,lasso-glove
4.266807906231856e-5,0,f_meas,binary,0.5149613476170596,15,0.01286711146394493,Model15,lasso-glove
4.266807906231856e-5,0,kap,binary,0.46242037157630556,15,0.013409740186854547,Model15,lasso-glove
4.266807906231856e-5,0,npv,binary,0.9818697152006507,15,0.0014466004519811785,Model15,lasso-glove
4.266807906231856e-5,0,ppv,binary,0.38405031090894404,15,0.012451267654391165,Model15,lasso-glove
4.266807906231856e-5,0,precision,binary,0.3840503109089441,15,0.012451267654391163,Model15,lasso-glove
4.266807906231856e-5,0,recall,binary,0.7895290727500597,15,0.015038728389592177,Model15,lasso-glove
4.266807906231856e-5,0,roc_auc,binary,0.932920866035407,15,0.0033915180651858676,Model15,lasso-glove
2.027290474261331e-4,0,bal_accuracy,binary,0.8484709958270024,15,0.006428074895210771,Model16,lasso-glove
2.027290474261331e-4,0,f_meas,binary,0.519336427840293,15,0.01278331915271787,Model16,lasso-glove
2.027290474261331e-4,0,kap,binary,0.4672676445472665,15,0.013242936590990026,Model16,lasso-glove
2.027290474261331e-4,0,npv,binary,0.9825191355046647,15,0.0012681824114828659,Model16,lasso-glove
2.027290474261331e-4,0,ppv,binary,0.3873301799979564,15,0.012719659832875032,Model16,lasso-glove
2.027290474261331e-4,0,precision,binary,0.38733017999795644,15,0.012719659832875034,Model16,lasso-glove
2.027290474261331e-4,0,recall,binary,0.796927666752797,15,0.013219993431178027,Model16,lasso-glove
2.027290474261331e-4,0,roc_auc,binary,0.93306662441054955,15,0.003388036447847493,Model16,lasso-glove
3.0772013637802106e-4,0,bal_accuracy,binary,0.847028430104083,15,0.006828534338190777,Model17,lasso-glove
3.0772013637802106e-4,0,f_meas,binary,0.5181487255754803,15,0.01260775002526185,Model17,lasso-glove
3.0772013637802106e-4,0,kap,binary,0.4659799742551358,15,0.013042696615538531,Model17,lasso-glove
3.0772013637802106e-4,0,npv,binary,0.9822647226022169,15,0.0013243530606930785,Model17,lasso-glove
3.0772013637802106e-4,0,ppv,binary,0.3865588356524781,15,0.01234609919290349,Model17,lasso-glove
3.0772013637802106e-4,0,precision,binary,0.3865588356524781,15,0.012346099192903491,Model17,lasso-glove
3.0772013637802106e-4,0,recall,binary,0.7938127365701977,15,0.013903968106447747,Model17,lasso-glove
3.0772013637802106e-4,0,roc_auc,binary,0.9333250161052046,15,0.0033029263151121858,Model17,lasso-glove
8.136284717546641e-4,0,bal_accuracy,binary,0.8467828302712472,15,0.006929427417494663,Model18,lasso-glove
